ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,churn_event,monthly_revenue,monthly_margin,CLV_60_months,survival_probability_12m,churn_risk_12m,CLV_12_months,valuable_customer,at_risk_customer,valuable_and_at_risk
19,Zone 2,1,24,Unmarried,3,20,Did not complete high school,No,Male,No,No,No,Basic service,No,0,25,16.25,386.3451713370145,0.6750787066026873,0.3249212933973127,152.01096949012674,False,True,False
20,Zone 1,26,29,Married,3,77,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,60,39.0,1189.0477549385487,0.7923144643608622,0.20768553563913783,392.4031226080587,True,True,True
21,Zone 3,6,30,Unmarried,7,16,Some college,No,Female,No,Yes,No,E-service,Yes,1,35,22.75,675.6289836620138,0.7822446875569598,0.21775531244304025,227.92443264902255,False,True,False
22,Zone 1,68,52,Married,17,120,Did not complete high school,No,Male,No,No,Yes,Basic service,No,0,25,16.25,685.8509565933844,0.9478322676697206,0.05216773233027938,180.03426680255293,False,False,False
23,Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,60,39.0,1303.237292251258,0.8385455055532564,0.16145449444674365,404.6343578367989,True,False,False
24,Zone 3,55,48,Married,19,67,Did not complete high school,No,Male,No,No,No,Basic service,No,0,25,16.25,679.3344759628751,0.9436719222904512,0.05632807770954884,179.6161403083728,False,False,False
25,Zone 3,14,43,Married,18,36,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1299.7870536218943,0.9758876615610734,0.024112338438926573,329.3948430432045,True,False,False
26,Zone 2,1,21,Unmarried,0,33,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,875.781811139783,0.7993776640348932,0.2006223359651068,299.59673126130554,False,True,False
27,Zone 2,42,40,Unmarried,7,37,High school degree,No,Female,Yes,Yes,No,Total service,No,0,60,39.0,1291.2092323656998,0.8333748756223701,0.16662512437762989,403.2568772323329,True,False,False
28,Zone 3,25,33,Married,11,31,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1196.7589567477937,0.9356736023063374,0.06432639769366255,321.9510130005696,True,False,False
29,Zone 1,9,21,Married,1,17,High school degree,No,Female,No,No,No,Basic service,No,0,25,16.25,443.43154278217406,0.7366420146821437,0.26335798531785626,157.29107123162157,False,True,False
30,Zone 2,13,33,Married,9,19,College degree,No,Female,No,Yes,No,E-service,No,0,35,22.75,817.5083246915249,0.875476789393451,0.12452321060654903,241.78354278639577,False,False,False
31,Zone 1,56,37,Married,6,36,Did not complete high school,No,Female,No,Yes,No,E-service,No,0,35,22.75,866.2828187613956,0.9000040499336357,0.0999959500663643,245.14418653756235,False,False,False
32,Zone 1,71,53,Married,27,155,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,0,60,39.0,1667.6353765110996,0.9537668750671604,0.0462331249328396,433.5292414476398,True,False,False
33,Zone 1,35,50,Married,26,140,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1338.618624421708,0.9853643308091149,0.014635669190885103,330.9142308557339,True,False,False
34,Zone 1,11,27,Married,8,55,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,35,22.75,764.9308565919354,0.8427571185137679,0.1572428814862321,236.91711614714563,False,False,False
35,Zone 2,60,46,Married,13,163,Some college,No,Male,Yes,Yes,Yes,Total service,No,0,60,39.0,1521.0898076691442,0.9112535716997772,0.08874642830022283,423.05658927638245,True,False,False
36,Zone 3,20,35,Married,11,52,College degree,No,Male,No,Yes,No,E-service,Yes,1,35,22.75,849.7329821252497,0.8924993104428554,0.10750068955714465,244.15731822554383,False,False,False
37,Zone 2,54,60,Unmarried,38,211,College degree,No,Male,Yes,Yes,No,Total service,No,0,60,39.0,1703.3600236869327,0.9638208897521328,0.03617911024786724,435.99687251759013,True,False,False
38,Zone 1,44,57,Married,1,186,High school degree,No,Male,Yes,No,Yes,Plus service,No,0,45,29.25,1207.7080213822617,0.9382617177081567,0.061738282291843305,322.3307511308965,True,False,False
39,Zone 1,11,41,Married,0,39,Did not complete high school,No,Female,Yes,No,Yes,Plus service,Yes,1,45,29.25,1079.1106820081827,0.8897988550444164,0.11020114495558364,313.72013171045074,True,False,False
40,Zone 2,72,57,Unmarried,34,22,High school degree,Yes,Female,No,No,Yes,Plus service,No,0,45,29.25,1339.967779208354,0.9846975453609934,0.01530245463900659,330.7517364426414,True,False,False
41,Zone 3,10,41,Unmarried,7,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1140.1408356050526,0.9177492263566119,0.08225077364338806,319.04763346465194,True,False,False
42,Zone 2,15,28,Unmarried,0,29,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,958.852432405147,0.8284385248021207,0.17156147519787934,301.5942770229256,False,True,False
43,Zone 2,27,28,Married,4,23,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,534.1322846177729,0.8290303814531944,0.1709696185468056,167.54158211800004,False,True,False
44,Zone 1,9,36,Married,14,62,College degree,No,Male,Yes,Yes,No,Total service,Yes,1,60,39.0,1350.1289212882223,0.8590110934837539,0.14098890651624607,410.6084981762703,True,False,False
45,Zone 1,64,43,Married,20,76,College degree,No,Female,No,No,No,Plus service,No,0,45,29.25,1291.205496442676,0.9683776855809758,0.03162231441902419,327.8139934435583,True,False,False
46,Zone 1,65,41,Married,3,74,College degree,No,Male,Yes,Yes,No,E-service,No,0,35,22.75,834.0421395511817,0.8824260942290625,0.11757390577093751,242.5713897217293,False,False,False
47,Zone 1,49,51,Married,27,63,College degree,No,Male,No,Yes,No,E-service,No,0,35,22.75,1002.6916218177897,0.9681176161536383,0.03188238384636166,254.94454689690787,False,False,False
48,Zone 3,47,41,Married,0,36,College degree,No,Male,No,Yes,No,Total service,Yes,1,60,39.0,1433.7459848573271,0.8833233180643754,0.11667668193562464,416.0490974868761,True,False,False
49,Zone 3,9,34,Married,9,33,High school degree,No,Female,No,No,No,Basic service,Yes,1,25,16.25,567.7145186183528,0.8636810894057464,0.1363189105942536,171.59094645462426,False,False,False
50,Zone 1,5,36,Unmarried,14,29,High school degree,No,Female,No,Yes,Yes,Plus service,Yes,1,45,29.25,966.997477698342,0.8398977233441859,0.1601022766558141,304.8960482558922,False,False,False
51,Zone 2,30,34,Married,4,27,High school degree,No,Male,No,Yes,No,Basic service,Yes,1,25,16.25,476.8465283973467,0.7744215963104738,0.2255784036895262,161.52136372568106,False,True,False
52,Zone 1,56,52,Married,28,49,High school degree,No,Male,No,No,No,E-service,No,0,35,22.75,1052.3631248073557,0.9891549897781656,0.010845010221834372,257.8786149818366,True,False,False
53,Zone 3,10,22,Unmarried,0,24,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,60,39.0,813.1811229708788,0.6046349318792046,0.3953650681207954,338.84400181038484,False,True,False
54,Zone 1,7,26,Married,3,26,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,481.159875625168,0.779746123695976,0.22025387630402404,162.41339548517684,False,True,False
55,Zone 1,52,27,Unmarried,6,47,Some college,No,Male,No,No,No,Basic service,No,0,25,16.25,535.9517391310878,0.8323346453910873,0.16766535460891274,167.9288387709473,False,False,False
56,Zone 2,36,45,Married,1,94,High school degree,No,Female,No,Yes,No,Basic service,Yes,1,25,16.25,517.0524629548296,0.8139357392824308,0.1860642607175692,165.90259097797292,False,True,False
57,Zone 3,27,34,Unmarried,8,21,Some college,No,Female,No,No,No,E-service,No,0,35,22.75,884.0243244338485,0.9106668569456356,0.08933314305436435,246.76281444014816,False,False,False
58,Zone 1,58,62,Married,36,27,Did not complete high school,No,Male,No,No,No,Basic service,No,0,25,16.25,743.8908986860031,0.9846419575637385,0.015358042436261488,183.7507285768898,False,False,False
59,Zone 2,41,52,Unmarried,27,30,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1310.544035888869,0.9758471212222151,0.024152878777784936,329.19844720665805,True,False,False
60,Zone 2,47,40,Married,16,127,College degree,No,Female,No,Yes,No,E-service,No,0,35,22.75,919.6240787294637,0.9282035084062675,0.07179649159373247,249.24789600589085,False,False,False
61,Zone 2,55,39,Married,15,137,High school degree,No,Female,Yes,No,Yes,Plus service,Yes,1,45,29.25,1204.784761375067,0.9367763012004656,0.06322369879953438,322.0376922255796,True,False,False
62,Zone 2,56,50,Married,1,80,High school degree,No,Female,Yes,No,Yes,Total service,No,0,60,39.0,1595.2672184643113,0.9335233813925761,0.06647661860742393,428.5804381059253,True,False,False
63,Zone 3,35,55,Unmarried,24,30,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,678.0935580162572,0.943780163184348,0.05621983681565201,179.65486925285427,False,False,False
64,Zone 2,69,51,Married,11,438,College degree,No,Female,No,Yes,No,Total service,No,0,60,39.0,1615.0154868514908,0.9390547850206746,0.06094521497932537,429.92957088494063,True,False,False
65,Zone 2,44,39,Unmarried,16,79,High school degree,No,Male,No,Yes,Yes,Total service,Yes,1,60,39.0,1462.8174891200722,0.8928456404260963,0.10715435957390373,418.4550189195683,True,False,False
66,Zone 3,36,47,Married,16,63,Did not complete high school,No,Male,No,No,No,Basic service,No,0,25,16.25,662.7658334249454,0.9329506305732144,0.06704936942678563,178.5406567634389,False,False,False
67,Zone 3,28,51,Married,22,40,Some college,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1332.1032662893701,0.9838159926364253,0.016184007363574726,330.66242680201526,True,False,False
68,Zone 1,72,67,Married,44,51,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,0,45,29.25,1382.0561003792884,0.9977096390738734,0.0022903609261265556,333.0651752738391,True,False,False
69,Zone 1,16,27,Unmarried,5,37,Some college,No,Male,No,No,No,Basic service,No,0,25,16.25,456.5088074081573,0.751051741449882,0.24894825855011804,158.84280460039943,False,True,False
70,Zone 3,3,43,Unmarried,19,61,College degree,No,Female,No,Yes,No,Basic service,Yes,1,25,16.25,488.4788298469585,0.793858423022853,0.20614157697714697,164.7401587496493,False,True,False
71,Zone 1,40,57,Married,15,22,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,688.4824095977742,0.9505013913594643,0.04949860864053568,180.3305899707471,False,False,False
72,Zone 3,16,39,Unmarried,6,44,College degree,No,Female,No,Yes,No,E-service,No,0,35,22.75,755.1165395906487,0.8345009098119146,0.1654990901880854,235.48383889900077,False,False,False
73,Zone 1,20,42,Unmarried,4,17,Some college,No,Male,No,No,No,Basic service,No,0,25,16.25,530.0746250238778,0.8253282570869095,0.1746717429130905,167.15771057572567,False,True,False
74,Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,0,35,22.75,817.6742135572736,0.8726380561093099,0.1273619438906901,241.11559781823118,False,False,False
75,Zone 2,64,48,Married,13,91,High school degree,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1280.278976853702,0.9645336716607769,0.03546632833922314,327.1158989953638,True,False,False
76,Zone 1,8,46,Unmarried,3,46,High school degree,No,Male,No,Yes,No,Basic service,No,0,25,16.25,401.53794613737733,0.6866195353952417,0.3133804646047583,151.37134223601316,False,True,False
77,Zone 1,40,38,Married,10,85,Some college,No,Male,No,No,Yes,Plus service,Yes,1,45,29.25,1220.021840641192,0.9432158727252352,0.056784127274764784,323.2558428689098,True,False,False
78,Zone 2,38,71,Unmarried,27,10,High school degree,Yes,Male,No,No,No,Basic service,No,0,25,16.25,724.9888882040153,0.9741407855932056,0.025859214406794395,182.72183180413808,False,False,False
79,Zone 1,67,68,Unmarried,28,244,Did not complete high school,No,Female,Yes,No,Yes,Plus service,No,0,45,29.25,1323.6415018727075,0.9794009927427191,0.02059900725728092,329.8035033455791,True,False,False
80,Zone 1,26,42,Unmarried,0,80,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,60,39.0,1162.6606684952246,0.7814245742752233,0.21857542572477673,389.4928138799276,True,True,True
81,Zone 3,41,34,Married,15,83,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,60,39.0,1415.5428498044384,0.8771789827963163,0.12282101720368366,414.49381280857233,True,False,False
82,Zone 2,2,31,Unmarried,2,21,Did not complete high school,No,Male,No,No,No,Basic service,Yes,1,25,16.25,424.12398693136214,0.7211560528387811,0.27884394716121885,156.75788989886732,False,True,False
83,Zone 3,20,48,Married,29,24,High school degree,No,Male,Yes,No,Yes,Total service,Yes,1,60,39.0,1773.6625274970133,0.9841635492659926,0.015836450734007412,441.02475203536727,True,False,False
84,Zone 2,31,53,Unmarried,2,351,Some college,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1181.5425914367192,0.9288131181616032,0.07118688183839683,320.63027398233044,True,False,False
85,Zone 2,45,52,Married,4,169,College degree,No,Female,No,Yes,No,E-service,No,0,35,22.75,910.1639122920715,0.9233990043174225,0.0766009956825775,248.55598190820865,False,False,False
86,Zone 2,33,27,Married,7,46,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,553.2321560779656,0.8462696706389337,0.15373032936106634,169.40690337336616,False,False,False
87,Zone 1,10,26,Unmarried,6,34,Some college,No,Male,No,No,No,E-service,No,0,35,22.75,812.256258427133,0.8739663820348884,0.1260336179651116,241.70316200956464,False,False,False
88,Zone 2,62,54,Married,2,50,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,60,39.0,1491.6984561168488,0.9021467981139136,0.09785320188608637,420.7839689586207,True,False,False
89,Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,60,39.0,1197.6278185706133,0.802892455822892,0.19710754417710796,397.14932288842226,True,True,True
90,Zone 1,42,47,Married,17,212,College degree,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1294.7439570077602,0.970388893701942,0.029611106298057965,328.2116911692266,True,False,False
91,Zone 3,27,51,Married,3,80,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,35,22.75,890.3481338575004,0.9141064509699278,0.08589354903007218,247.265287318062,False,False,False
92,Zone 2,38,42,Unmarried,1,30,College degree,No,Female,No,No,No,Basic service,No,0,25,16.25,545.0733528494145,0.8393411411302782,0.16065885886972175,168.6622739023741,False,False,False
93,Zone 3,52,61,Married,3,53,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,0,35,22.75,900.8608925659601,0.91840627762095,0.08159372237905005,247.8247728256777,False,False,False
94,Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,60,39.0,1223.105623810694,0.8069169465213384,0.19308305347866161,396.31790689263687,True,True,True
95,Zone 3,3,20,Married,1,17,High school degree,No,Female,No,No,No,Basic service,Yes,1,25,16.25,423.93634427376963,0.7184054045394985,0.2815945954605015,155.96032018267505,False,True,False
96,Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service,Yes,1,60,39.0,1123.5003148198336,0.7635874164043415,0.23641258359565853,384.6526152449917,True,True,True
97,Zone 1,55,53,Married,21,34,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1325.6625271121554,0.9803500831864119,0.019649916813588075,329.9848731581736,True,False,False
98,Zone 3,43,36,Married,5,107,Did not complete high school,No,Female,No,No,No,E-service,Yes,1,35,22.75,938.9843089018134,0.9381366174118311,0.061863382588168925,250.68564602595,False,False,False
99,Zone 2,47,25,Married,5,21,Did not complete high school,No,Female,No,No,Yes,Plus service,Yes,1,45,29.25,1123.3111623171924,0.9040217285354687,0.0959782714645313,315.9444817197735,True,False,False
100,Zone 3,65,58,Unmarried,30,83,High school degree,No,Female,No,No,No,E-service,No,0,35,22.75,1045.326665681534,0.9861109391387891,0.013889060861210889,257.4513410527879,True,False,False
101,Zone 1,13,20,Unmarried,1,17,Some college,No,Male,No,Yes,Yes,Total service,No,0,60,39.0,963.7258419575927,0.6873854624606737,0.31261453753932633,363.33945550882896,False,True,False
102,Zone 3,64,25,Married,4,76,Some college,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1136.1644423653117,0.9093607204529915,0.09063927954700846,316.9384235922255,True,False,False
103,Zone 2,12,24,Unmarried,2,19,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,1,45,29.25,935.6548246816399,0.8168581993950924,0.1831418006049076,299.4082751778343,False,True,False
104,Zone 1,29,32,Married,0,49,College degree,No,Female,No,Yes,No,E-service,Yes,1,35,22.75,770.6614355801643,0.8437627265593148,0.15623727344068516,236.79429992895578,False,False,False
105,Zone 2,23,47,Unmarried,21,173,Some college,No,Female,No,No,No,E-service,No,0,35,22.75,1005.8697447087898,0.9716953353692809,0.028304664630719123,255.52811191332665,False,False,False
106,Zone 2,14,35,Unmarried,4,47,Some college,No,Female,No,No,Yes,E-service,Yes,1,35,22.75,857.6314027968978,0.8989489391893065,0.10105106081069348,245.23647933327146,False,False,False
107,Zone 1,35,61,Unmarried,23,41,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,691.56511455751,0.9529366782854667,0.04706332171453331,180.58886926043985,False,False,False
108,Zone 3,26,39,Unmarried,8,105,Some college,No,Female,Yes,No,Yes,Total service,No,0,60,39.0,1442.4628962737766,0.8867905365106807,0.11320946348931926,417.0061141756411,True,False,False
109,Zone 1,13,54,Unmarried,2,31,College degree,No,Male,Yes,Yes,No,Basic service,No,0,25,16.25,399.5960233309959,0.6850037286516841,0.31499627134831587,151.10657140273142,False,True,False
110,Zone 2,69,40,Married,13,41,High school degree,No,Male,No,No,No,E-service,No,0,35,22.75,988.3073309004094,0.9610188572222154,0.03898114277778464,253.9227497119778,False,False,False
111,Zone 3,61,50,Married,30,102,College degree,No,Female,No,Yes,No,E-service,No,0,35,22.75,1008.7994406723498,0.9704739802190862,0.029526019780913848,255.26417478995614,False,False,False
112,Zone 2,45,22,Married,2,36,College degree,No,Female,No,No,No,E-service,Yes,1,35,22.75,865.840941784015,0.8997655386378189,0.10023446136218106,245.11347273640493,False,False,False
113,Zone 2,3,37,Unmarried,13,24,Did not complete high school,No,Female,Yes,No,No,Basic service,No,0,25,16.25,474.93338456928774,0.7788441776370177,0.22115582236298226,163.0374876723301,False,True,False
114,Zone 2,53,22,Unmarried,1,25,College degree,No,Male,No,Yes,No,E-service,No,0,35,22.75,723.6824990621528,0.8155175657861872,0.18448243421381283,232.5621361218818,False,True,False
115,Zone 1,59,42,Unmarried,1,68,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1137.2449648508357,0.9097851655434576,0.09021483445654244,317.0182187689566,True,False,False
116,Zone 1,13,34,Unmarried,11,20,Some college,No,Female,No,Yes,No,Basic service,No,0,25,16.25,407.6513235038931,0.6947550044887516,0.3052449955112484,152.27043487001302,False,True,False
117,Zone 3,31,31,Unmarried,4,48,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1054.4310432982154,0.8739795995073947,0.12602040049260532,310.2774970228535,True,False,False
118,Zone 1,40,29,Married,6,40,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1145.5273302758253,0.9134789448726265,0.08652105512737351,317.73070641634365,True,False,False
119,Zone 1,48,55,Unmarried,15,79,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1268.9898016899215,0.9609926695975106,0.03900733040248938,326.492804612782,True,False,False
120,Zone 3,3,31,Unmarried,1,28,Did not complete high school,No,Male,No,Yes,Yes,Basic service,Yes,1,25,16.25,280.34834974239664,0.5131068529017627,0.4868931470982373,129.20569153837874,False,True,False
121,Zone 2,51,48,Unmarried,12,64,High school degree,No,Female,No,No,No,Basic service,No,0,25,16.25,620.8425803063608,0.9015577606467436,0.09844223935325636,175.26587471248237,False,False,False
122,Zone 3,33,41,Unmarried,15,37,High school degree,No,Male,No,No,No,Basic service,No,0,25,16.25,595.0492664678544,0.8815061644387756,0.11849383556122439,173.17165109170026,False,False,False
123,Zone 3,14,47,Married,7,48,Did not complete high school,No,Male,No,No,No,Basic service,No,0,25,16.25,619.9017799133003,0.9048101895544414,0.09518981044555863,175.78445128758634,False,False,False
124,Zone 1,17,42,Married,6,131,Post-undergraduate degree,No,Male,No,Yes,No,E-service,Yes,1,35,22.75,854.887155364816,0.8962515469415482,0.10374845305845182,244.76270959117235,False,False,False
125,Zone 3,19,29,Married,9,18,High school degree,No,Male,No,Yes,Yes,Basic service,Yes,1,25,16.25,450.6409198565514,0.7451186165142013,0.2548813834857987,158.1627448419267,False,True,False
126,Zone 2,58,36,Unmarried,10,38,High school degree,No,Female,No,No,No,E-service,No,0,35,22.75,920.8996223358916,0.9286215996613998,0.07137840033860021,249.2978389656065,False,False,False
127,Zone 3,22,23,Unmarried,3,37,High school degree,No,Female,Yes,Yes,No,Total service,No,0,60,39.0,985.5589390500069,0.7011328073047145,0.2988671926952855,367.4353050512791,False,True,False
128,Zone 2,29,31,Married,1,60,College degree,No,Male,No,Yes,No,E-service,Yes,1,35,22.75,771.6117308208784,0.8443628480622405,0.1556371519377595,236.8851108420701,False,False,False
129,Zone 3,14,22,Married,2,13,Some college,No,Female,No,Yes,No,E-service,Yes,1,35,22.75,684.2564512845533,0.785162239622848,0.21483776037715197,227.84101702887855,False,True,False
130,Zone 2,70,64,Married,18,98,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,0,60,39.0,1764.4845889127805,0.9792543152795598,0.02074568472044025,439.70008923874707,True,False,False
131,Zone 1,62,52,Married,2,195,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,1,45,29.25,1246.3560381679813,0.9523154895578918,0.0476845104421082,324.88818869364815,True,False,False
132,Zone 2,7,35,Married,0,47,Did not complete high school,No,Male,No,No,No,Basic service,Yes,1,25,16.25,513.5032581859689,0.8136512426924211,0.18634875730757894,166.2460146632949,False,True,False
133,Zone 1,56,47,Married,19,65,High school degree,No,Male,Yes,No,Yes,Total service,No,0,60,39.0,1698.6992193691592,0.9625121285797928,0.03748787142020715,435.675720458729,True,False,False
134,Zone 1,50,50,Married,22,150,Post-undergraduate degree,No,Female,Yes,Yes,Yes,E-service,Yes,1,35,22.75,943.5763211021091,0.9401398342666317,0.059860165733368276,250.96204174815367,False,False,False
135,Zone 2,57,39,Unmarried,6,106,Post-undergraduate degree,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1149.5962048183346,0.9148444912294168,0.0851555087705832,317.9639335135258,True,False,False
136,Zone 3,2,40,Unmarried,19,51,College degree,No,Female,Yes,Yes,No,Basic service,No,0,25,16.25,394.5761114779839,0.6828436020785573,0.3171563979214427,152.1052727994027,False,True,False
137,Zone 2,40,38,Unmarried,17,96,College degree,No,Female,No,No,No,Basic service,No,0,25,16.25,598.9941790848887,0.8845659056529216,0.11543409434707841,173.48702518928692,False,False,False
138,Zone 2,6,43,Unmarried,4,33,Post-undergraduate degree,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1135.136719246104,0.9197095725420399,0.08029042745796011,319.82558260800033,True,False,False
139,Zone 3,23,25,Married,6,38,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1103.4492928050358,0.8968341529788281,0.10316584702117193,314.69541533845324,True,False,False
140,Zone 3,11,32,Unmarried,6,125,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,60,39.0,1025.8822379775206,0.7179313885284222,0.2820686114715778,372.0786443463463,True,True,True
141,Zone 1,29,37,Married,13,145,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,60,39.0,1391.628465829244,0.8690869621448458,0.13091303785515418,412.4626388515296,True,False,False
142,Zone 1,42,44,Married,2,99,High school degree,No,Male,No,No,No,Plus service,No,0,45,29.25,1203.4574869004414,0.9367047986191848,0.06329520138081524,322.0480988268972,True,False,False
143,Zone 1,20,34,Married,2,22,College degree,No,Female,No,Yes,Yes,Total service,No,0,60,39.0,1317.6095469431582,0.8427702334061369,0.15722976659386312,405.7529604257708,True,False,False
144,Zone 2,72,60,Married,21,31,Did not complete high school,Yes,Male,No,No,No,E-service,No,0,35,22.75,1050.0639517996299,0.9879549112821671,0.012045088717832941,257.7047160944029,True,False,False
